cell_idx,cell_type,gene,cosine_distance,p_value,null_mean,gene_in_cell,n_tokens
0,pvalb GABAergic cortical interneuron,NLGN1,0.00066691637,0.5098039215686274,0.00089903356,True,2048
0,pvalb GABAergic cortical interneuron,NEGR1,0.0019062757,0.1372549019607843,0.0009098792,True,2048
0,pvalb GABAergic cortical interneuron,TCF4,0.0018154383,0.0980392156862745,0.0034910475,True,2048
0,pvalb GABAergic cortical interneuron,MEF2C,0.0014314055,0.196078431372549,0.000904603,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2A,0.00045019388,0.6274509803921569,0.00086781144,True,2048
0,pvalb GABAergic cortical interneuron,GRIN2B,0.0014006495,0.2941176470588235,0.0009131169,True,2048
0,pvalb GABAergic cortical interneuron,MAPT,0.0004900098,0.5882352941176471,0.0009381056,True,2048
0,pvalb GABAergic cortical interneuron,SCN1A,0.0003119707,0.9215686274509804,0.0038705624,True,2048
0,pvalb GABAergic cortical interneuron,HOMER1,0.0019221306,0.0980392156862745,0.0007700515,True,2048
0,pvalb GABAergic cortical interneuron,CREB1,0.0001000762,0.9803921568627452,0.00091773155,True,2048
0,pvalb GABAergic cortical interneuron,SYN1,0.0011886358,0.2745098039215686,0.00081092236,True,2048
1,glutamatergic neuron,CADM2,0.057777226,0.803921568627451,0.05955964,True,2048
1,glutamatergic neuron,NRXN1,0.058432102,0.8235294117647058,0.058466148,True,2048
1,glutamatergic neuron,NLGN1,0.060474932,0.4509803921568627,0.058983162,True,2048
1,glutamatergic neuron,NEGR1,0.060748875,0.3725490196078431,0.058245495,True,2048
1,glutamatergic neuron,TCF4,0.060421884,0.5294117647058824,0.060449854,True,2048
1,glutamatergic neuron,MEF2C,0.063046455,0.0784313725490196,0.058454685,True,2048
1,glutamatergic neuron,APP,0.058343768,0.7450980392156863,0.058640823,True,2048
1,glutamatergic neuron,GRIN2A,0.06069386,0.5294117647058824,0.060300816,True,2048
1,glutamatergic neuron,GRIN2B,0.057941496,0.803921568627451,0.05961982,True,2048
1,glutamatergic neuron,MAPT,0.06017822,0.4901960784313725,0.058686696,True,2048
1,glutamatergic neuron,SCN1A,0.05925286,0.6470588235294118,0.058254145,True,2048
1,glutamatergic neuron,FOXO3,0.061009586,0.3137254901960784,0.05836983,True,2048
1,glutamatergic neuron,CAMK2A,0.06071776,0.4509803921568627,0.0600982,True,2048
1,glutamatergic neuron,HOMER1,0.06255239,0.0980392156862745,0.059267674,True,2048
1,glutamatergic neuron,SHANK3,0.061812997,0.2156862745098039,0.05921596,True,2048
1,glutamatergic neuron,BDNF,0.059861124,0.6274509803921569,0.059787177,True,2048
2,microglial cell,TCF4,0.00020051003,0.9215686274509804,0.00072017906,True,2048
2,microglial cell,MEF2C,0.0016242862,0.0196078431372549,0.0006981599,True,2048
2,microglial cell,DISC1,0.00090259314,0.196078431372549,0.00069141865,True,2048
2,microglial cell,FOXO3,0.00033473969,0.8823529411764706,0.0007637084,True,2048
2,microglial cell,CREB1,0.0005238056,0.6862745098039216,0.0028930937,True,2048
3,oligodendrocyte,CADM2,0.0013363361,0.5098039215686274,0.0026107419,True,2048
3,oligodendrocyte,NLGN1,0.0002116561,0.803921568627451,0.0017526257,True,2048
3,oligodendrocyte,TCF4,0.0055907965,0.0196078431372549,0.0015496612,True,2048
3,oligodendrocyte,APP,0.0038378835,0.3725490196078431,0.002418642,True,2048
3,oligodendrocyte,MAPT,0.0039099455,0.3137254901960784,0.0023094083,True,2048
3,oligodendrocyte,FOXO3,0.0011852384,0.3333333333333333,0.0014099157,True,2048
4,glutamatergic neuron,CADM2,0.0013192892,0.7843137254901961,0.0030739235,True,2048
4,glutamatergic neuron,NRXN1,0.0026543736,0.5098039215686274,0.0026533795,True,2048
4,glutamatergic neuron,NLGN1,0.004098892,0.1568627450980392,0.002521025,True,2048
4,glutamatergic neuron,NEGR1,0.002481997,0.4705882352941176,0.0025952947,True,2048
4,glutamatergic neuron,TCF4,0.002406776,0.5686274509803921,0.0028348041,True,2048
4,glutamatergic neuron,MEF2C,0.002440691,0.5686274509803921,0.0028166675,True,2048
4,glutamatergic neuron,APP,0.002592206,0.5686274509803921,0.0030332112,True,2048
4,glutamatergic neuron,GRIN2A,0.0028765798,0.3529411764705882,0.0026851583,True,2048
4,glutamatergic neuron,MAPT,0.0029947162,0.3333333333333333,0.0027748453,True,2048
4,glutamatergic neuron,SCN1A,0.0030807257,0.3333333333333333,0.002840284,True,2048
4,glutamatergic neuron,FOXO3,0.0032564998,0.196078431372549,0.0024147022,True,2048
4,glutamatergic neuron,CAMK2A,0.0024726987,0.4705882352941176,0.0026007688,True,2048
4,glutamatergic neuron,HOMER1,0.0025827289,0.4705882352941176,0.0025795924,True,2048
4,glutamatergic neuron,SHANK3,0.0019231439,0.6666666666666666,0.0026563942,True,2048
4,glutamatergic neuron,SYN1,0.006393969,0.0588235294117647,0.0027817201,True,2048
4,glutamatergic neuron,BDNF,0.00078988075,1.0,0.0022453463,True,2048
5,oligodendrocyte,CADM2,0.000669837,0.5098039215686274,0.0008617628,True,1826
5,oligodendrocyte,NLGN1,0.00061023235,0.6078431372549019,0.0011522472,True,1826
5,oligodendrocyte,TCF4,0.00062805414,0.5882352941176471,0.003130933,True,1826
5,oligodendrocyte,APP,0.00072586536,0.5490196078431373,0.0009553945,True,1826
5,oligodendrocyte,MAPT,0.0008380413,0.392156862745098,0.0010062873,True,1826
5,oligodendrocyte,FOXO3,0.000413239,0.8431372549019608,0.0011358798,True,1826
6,astrocyte,CADM2,0.0011951923,0.5882352941176471,0.00231089,True,2048
6,astrocyte,NRXN1,0.0038251877,0.2156862745098039,0.004843974,True,2048
6,astrocyte,TCF4,0.0009772778,0.6666666666666666,0.002331859,True,2048
6,astrocyte,MEF2C,0.0009301305,0.8431372549019608,0.002389872,True,2048
6,astrocyte,MAPT,0.0007340312,0.9411764705882352,0.00230788,True,2048
