gene,score
CADM2,0.022823330014944077
NRXN1,0.011531286872923374
NLGN1,0.010329757817089558
GRIN2A,0.00814635306596756
MEF2C,0.006856730207800865
NEGR1,0.005747126415371895
HOMER1,0.005264578852802515
DISC1,0.004725339822471142
MAPT,0.004226542543619871
TCF4,0.0036252355203032494
APP,0.003508772002533078
FOXO3,0.0028498147148638964
GRIN2B,0.0026420080102980137
SCN1A,0.0025452489499002695
CREB1,0.0014221861492842436
FMR1,0.001306335674598813
CAMK2A,0.001207729452289641
COMT,0.0008737440221011639
SYN1,0.0008737440221011639
BDNF,0.0007524913526140153
SHANK3,0.0005827505956403911
SLC6A4,0.00029886432457715273
