batch_num,cell_idx,cell_type,gene,cosine_distance,p_value,null_mean,null_std,n_null_samples,n_tokens
13,1800,oligodendrocyte,CADM2,0.00059586763,0.967741935483871,0.0046744007,0.008883127,30,1163
13,1800,oligodendrocyte,NLGN1,0.0012329221,0.8709677419354839,0.0040574013,0.008391208,30,1163
13,1800,oligodendrocyte,NEGR1,0.0008997321,1.0,0.005724883,0.012137419,30,1163
13,1800,oligodendrocyte,TCF4,0.0014458895,0.9032258064516129,0.006332656,0.012118122,30,1163
13,1800,oligodendrocyte,APP,0.0021565557,0.7096774193548387,0.009320359,0.016456896,30,1163
13,1800,oligodendrocyte,GRIN2A,0.0011164546,1.0,0.00589871,0.012020908,30,1163
13,1800,oligodendrocyte,MAPT,0.0018320084,0.7741935483870968,0.007488219,0.01478462,30,1163
13,1800,oligodendrocyte,FMR1,0.0034657717,0.1935483870967742,0.008307627,0.018173672,30,1163
13,1801,L2/3-6 intratelencephalic projecting glutamatergic neuron,CREB1,0.0005585551,0.5483870967741935,0.0007485052,0.0005512364,30,2048
13,1801,L2/3-6 intratelencephalic projecting glutamatergic neuron,SHANK3,0.0008274913,0.25806451612903225,0.00065249205,0.00043300554,30,2048
13,1802,oligodendrocyte precursor cell,CADM2,3.582239e-05,0.967741935483871,0.001140078,0.00066892593,30,1094
13,1802,oligodendrocyte precursor cell,NRXN1,9.769201e-05,1.0,0.0011731982,0.00071661227,30,1094
13,1802,oligodendrocyte precursor cell,NLGN1,0.000117361546,1.0,0.0009906829,0.0005154304,30,1094
13,1802,oligodendrocyte precursor cell,NEGR1,0.000119268894,1.0,0.0013158718,0.0014185016,30,1094
13,1802,oligodendrocyte precursor cell,TCF4,0.00027155876,0.8064516129032258,0.00096155604,0.0006655276,30,1094
13,1802,oligodendrocyte precursor cell,APP,0.0004120469,0.9354838709677419,0.0010380924,0.00055412366,30,1094
13,1802,oligodendrocyte precursor cell,GRIN2B,0.00022816658,0.9032258064516129,0.0009250641,0.0005441237,30,1094
13,1802,oligodendrocyte precursor cell,SCN1A,0.00068730116,0.6774193548387096,0.0010042092,0.00059309136,30,1094
13,1802,oligodendrocyte precursor cell,FOXO3,0.0006072521,0.9032258064516129,0.0011642555,0.0005982957,30,1094
13,1802,oligodendrocyte precursor cell,CREB1,0.0013851523,0.2903225806451613,0.0010254721,0.00056224497,30,1094
13,1803,chandelier pvalb GABAergic cortical interneuron,SHANK3,0.08003539,0.06451612903225806,0.010760481,0.027333992,30,2048
13,1804,oligodendrocyte precursor cell,FOXO3,0.009056747,0.4838709677419355,0.00893262,0.0063565127,30,2048
13,1805,astrocyte of the cerebral cortex,NEGR1,0.00017917156,0.8709677419354839,0.009452294,0.006036291,30,2048
13,1805,astrocyte of the cerebral cortex,TCF4,0.00016021729,0.967741935483871,0.0090516545,0.0064830324,30,2048
13,1805,astrocyte of the cerebral cortex,MAPT,0.00021094084,0.8709677419354839,0.00833694,0.006016342,30,2048
13,1805,astrocyte of the cerebral cortex,FOXO3,0.0017806292,0.6451612903225806,0.00793912,0.0065253866,30,2048
13,1805,astrocyte of the cerebral cortex,CAMK2A,0.00031918287,0.8387096774193549,0.008749942,0.0071350764,30,2048
13,1808,microglial cell,NRXN1,3.5226345e-05,1.0,0.0026431838,0.0022561501,30,1260
13,1808,microglial cell,TCF4,8.85725e-05,0.9354838709677419,0.0025056798,0.0030980723,30,1260
13,1808,microglial cell,MEF2C,0.000397861,0.8387096774193549,0.004132241,0.0034507732,30,1260
